"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"1","","Todd Gurley","LAR","RB1","","1","6","1.6","0.8"
"2","","Saquon Barkley","NYG","RB2","","1","4","2.0","0.8"
"3","","Ezekiel Elliott","DAL","RB3","","1","4","2.4","0.7"
"4","","Christian McCaffrey","CAR","RB4","","2","6","4.0","0.3"
"5","","Alvin Kamara","NO","RB5","","4","6","5.1","0.4"
"6","","Melvin Gordon","LAC","RB6","","3","8","5.9","0.5"
"7","","DeAndre Hopkins","HOU","WR1","","5","11","7.8","0.6"
"8","","Davante Adams","GB","WR2","","7","12","9.4","1.2"
"9","","Nick Chubb","CLE","RB7","","7","21","10.1","2.3"
"10","","James Conner","PIT","RB8","","7","20","10.8","3.4"
"11","","Julio Jones","ATL","WR3","","7","18","11.1","2.7"
"12","","Michael Thomas","NO","WR4","","9","19","12.9","2.3"
"13","","Joe Mixon","CIN","RB9","","10","20","13.5","2.6"
"14","","Le'Veon Bell","PIT","RB10","","8","21","14.4","3.2"
"15","","Dalvin Cook","MIN","RB11","","9","32","16.5","3.8"
"16","","Travis Kelce","KC","TE1","","14","25","16.7","1.6"
"17","","Antonio Brown","PIT","WR5","","9","30","16.9","3.0"
"18","","Odell Beckham Jr.","NYG","WR6","","12","24","17.5","1.9"
"19","","David Johnson","ARI","RB12","","7","31","18.6","3.8"
"20","","Tyreek Hill","KC","WR7","","11","22","18.8","2.7"
"21","","Zach Ertz","PHI","TE2","","16","33","21.0","3.3"
"22","","Aaron Jones","GB","RB13","","13","38","22.1","4.0"
"23","","JuJu Smith-Schuster","PIT","WR8","","14","30","23.0","3.1"
"24","","George Kittle","SF","TE3","","18","34","25.0","3.0"
"25","","A.J. Green","CIN","WR9","","18","34","25.5","2.5"
"26","","Mike Evans","TB","WR10","","18","34","26.6","2.0"
"27","","T.Y. Hilton","IND","WR11","","23","33","28.8","1.2"
"28","","Amari Cooper","DAL","WR12","","19","39","29.4","3.0"
"29","","Leonard Fournette","JAC","RB14","","14","45","29.8","5.1"
"30","","Sony Michel","NE","RB15","","25","41","30.2","3.7"
"31","","Keenan Allen","LAC","WR13","","27","39","30.3","1.8"
"32","","Patrick Mahomes","KC","QB1","","26","52","31.0","6.9"
"33","","Stefon Diggs","MIN","WR14","","27","39","34.3","2.7"
