"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","5","1.5","0.9","1.0","0.0"
"2","","David Johnson","ARI","RB2","9","1","7","2.9","1.3","3.0","+1.0"
"3","","Le'Veon Bell","PIT","RB3","7","1","14","3.0","2.1","2.0","-1.0"
"4","","Ezekiel Elliott","DAL","RB4","8","1","15","4.6","2.3","4.0","0.0"
"5","","Antonio Brown","PIT","WR1","7","2","9","4.9","1.4","5.0","0.0"
"6","","Alvin Kamara","NO","RB5","6","4","20","7.7","3.4","6.0","0.0"
"7","","DeAndre Hopkins","HOU","WR2","10","1","15","8.0","2.9","8.0","+1.0"
"8","","Odell Beckham Jr.","NYG","WR3","9","4","14","8.7","2.4","12.0","+4.0"
"9","","Saquon Barkley","NYG","RB6","9","3","18","10.1","3.6","7.0","-2.0"
"10","","Julio Jones","ATL","WR4","8","4","19","10.6","2.9","13.0","+3.0"
"11","","Melvin Gordon","LAC","RB7","8","4","26","11.7","4.5","11.0","0.0"
"12","","Michael Thomas","NO","WR5","6","7","20","12.4","2.8","16.0","+4.0"
"13","","Kareem Hunt","KC","RB8","12","6","38","13.3","5.0","10.0","-3.0"
"14","","Leonard Fournette","JAC","RB9","9","3","31","13.4","5.1","9.0","-5.0"
"15","","Keenan Allen","LAC","WR6","8","6","21","14.3","2.9","17.0","+2.0"
"16","","Davante Adams","GB","WR7","7","9","27","16.6","3.6","18.0","+2.0"
"17","","A.J. Green","CIN","WR8","9","8","30","17.2","3.5","20.0","+3.0"
"18","","Christian McCaffrey","CAR","RB10","4","6","48","17.7","6.3","15.0","-3.0"
"19","","Dalvin Cook","MIN","RB11","10","8","42","19.8","5.5","14.0","-5.0"
"20","","Devonta Freeman","ATL","RB12","8","13","43","22.9","6.3","19.0","-1.0"
"21","","Mike Evans","TB","WR9","5","15","39","22.9","4.9","22.0","+1.0"
"22","","Rob Gronkowski","NE","TE1","11","15","50","24.2","6.8","21.0","-1.0"
"23","","Jordan Howard","CHI","RB13","5","14","46","25.4","5.6","23.0","0.0"
