"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","4","1.6","0.8","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","1","5","2.2","0.9","2.0","0.0"
"3","1","","Alvin Kamara","NO","RB3","9","1","7","2.8","0.9","3.0","0.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","1","52","5.6","4.7","4.0","0.0"
"5","1","","David Johnson","ARI","RB5","12","1","21","6.1","3.1","5.0","0.0"
"6","1","","DeAndre Hopkins","HOU","WR1","10","4","17","7.0","2.1","6.0","0.0"
"7","1","","Davante Adams","GB","WR2","11","4","19","8.0","2.3","8.0","+1.0"
"8","2","","Julio Jones","ATL","WR3","9","5","18","10.4","2.6","10.0","+2.0"
"9","2","","James Conner","PIT","RB6","7","3","53","11.1","4.4","11.0","+2.0"
"10","2","","Odell Beckham Jr.","CLE","WR4","7","6","25","12.8","3.7","12.0","+2.0"
"11","2","","Nick Chubb","CLE","RB7","7","1","28","13.0","5.9","20.0","+9.0"
"12","2","","Le'Veon Bell","NYJ","RB8","4","5","52","13.1","7.1","7.0","-5.0"
"13","2","","Michael Thomas","NO","WR5","9","7","25","13.1","3.1","9.0","-4.0"
"14","2","","Travis Kelce","KC","TE1","12","6","22","14.1","2.6","13.0","-1.0"
"15","2","","JuJu Smith-Schuster","PIT","WR6","7","6","28","14.8","4.5","16.0","+1.0"
"16","2","","Joe Mixon","CIN","RB9","9","6","31","15.6","4.8","17.0","+1.0"
"17","2","","Tyreek Hill","KC","WR7","12","6","29","16.2","4.3","15.0","-2.0"
"18","2","","Dalvin Cook","MIN","RB10","12","4","48","17.2","6.0","19.0","+1.0"
"19","2","","Todd Gurley","LAR","RB11","9","3","60","18.6","9.0","14.0","-5.0"
"20","3","","Mike Evans","TB","WR8","7","10","34","20.8","3.8","21.0","+1.0"
"21","3","","George Kittle","SF","TE2","4","13","63","24.3","7.7","31.0","+10.0"
"22","3","","Keenan Allen","LAC","WR9","12","17","34","25.6","3.4","23.0","+1.0"
"23","3","","Antonio Brown","OAK","WR10","6","13","47","26.8","5.6","22.0","-1.0"
"24","3","","T.Y. Hilton","IND","WR11","6","19","46","27.5","3.7","30.0","+6.0"
"25","3","","Zach Ertz","PHI","TE3","10","18","58","28.1","8.6","25.0","0.0"
"26","3","","Kerryon Johnson","DET","RB12","5","12","74","29.5","9.6","28.0","+2.0"
"27","3","","Adam Thielen","MIN","WR12","12","19","54","30.7","4.6","26.0","-1.0"
"28","3","","Amari Cooper","DAL","WR13","8","19","54","30.7","4.8","32.0","+4.0"
"29","3","","Stefon Diggs","MIN","WR14","12","21","45","31.7","4.2","35.0","+6.0"
"30","3","","Melvin Gordon","LAC","RB13","12","5","143","33.3","15.7","24.0","-6.0"
"31","3","","Patrick Mahomes","KC","QB1","12","10","72","33.3","12.6","18.0","-13.0"
"32","4","","Aaron Jones","GB","RB14","11","9","82","33.7","10.3","33.0","+1.0"
"33","4","","Devonta Freeman","ATL","RB15","9","11","67","33.9","9.8","34.0","+1.0"
"34","4","","Damien Williams","KC","RB16","12","7","101","34.0","14.7","29.0","-5.0"
"35","4","","Marlon Mack","IND","RB17","6","14","75","34.3","10.2","37.0","+2.0"
"36","4","","Leonard Fournette","JAC","RB18","10","17","84","34.9","9.7","27.0","-9.0"
"37","4","","Brandin Cooks","LAR","WR15","9","20","61","35.5","5.0","40.0","+3.0"
"38","4","","Julian Edelman","NE","WR16","10","25","72","36.6","6.9","39.0","+1.0"
"39","4","","Robert Woods","LAR","WR17","9","25","59","37.1","5.8","41.0","+2.0"
"40","4","","Chris Godwin","TB","WR18","7","25","86","41.1","7.8","44.0","+4.0"
"41","4","","Kenny Golladay","DET","WR19","5","31","100","41.9","7.3","42.0","+1.0"
"42","4","","Derrick Henry","TEN","RB19","11","12","89","43.8","8.9","38.0","-4.0"
"43","4","","Chris Carson","SEA","RB20","11","19","92","44.9","12.3","47.0","+4.0"
"44","4","","Josh Jacobs","OAK","RB21","6","23","187","46.2","12.9","36.0","-8.0"
"45","4","","Tyler Lockett","SEA","WR20","11","28","87","46.6","10.5","49.0","+4.0"
"46","4","","Cooper Kupp","LAR","WR21","9","24","84","48.5","9.7","46.0","0.0"
"47","4","","Deshaun Watson","HOU","QB2","10","21","79","51.9","10.1","43.0","-4.0"
"48","4","","Tyler Boyd","CIN","WR22","9","31","88","51.9","10.5","57.0","+9.0"
"49","5","","David Montgomery","CHI","RB22","6","11","257","52.8","17.0","54.0","+5.0"
"50","5","","Sony Michel","NE","RB23","10","31","95","53.3","10.6","48.0","-2.0"
"51","5","","Mark Ingram","BAL","RB24","8","19","97","54.3","14.4","45.0","-6.0"
"52","5","","Alshon Jeffery","PHI","WR23","10","35","81","54.6","10.4","62.0","+10.0"
"53","5","","D.J. Moore","CAR","WR24","7","34","86","54.8","11.1","60.0","+7.0"
"54","5","","Calvin Ridley","ATL","WR25","9","32","86","55.3","10.0","55.0","+1.0"
"55","5","","Aaron Rodgers","GB","QB3","11","30","101","55.9","11.1","51.0","-4.0"
"56","5","","Allen Robinson","CHI","WR26","6","37","111","57.2","14.6","67.0","+11.0"
"57","5","","O.J. Howard","TB","TE4","7","22","93","57.6","10.5","56.0","-1.0"
"58","5","","Mike Williams","LAC","WR27","12","33","90","59.0","11.8","61.0","+3.0"
"59","5","","Evan Engram","NYG","TE5","11","18","112","62.4","13.0","59.0","0.0"
"60","5","","Phillip Lindsay","DEN","RB25","10","38","103","62.7","13.5","53.0","-7.0"
"61","5","","Hunter Henry","LAC","TE6","12","47","94","65.6","7.6","64.0","+3.0"
"62","5","","Robby Anderson","NYJ","WR28","4","35","102","66.0","13.1","72.0","+10.0"
"63","5","","Jarvis Landry","CLE","WR29","7","38","129","67.0","14.4","63.0","0.0"
"64","5","","A.J. Green","CIN","WR30","9","42","112","67.4","16.7","52.0","-12.0"
"65","5","","James White","NE","RB26","10","27","110","67.7","14.6","50.0","-15.0"
"66","5","","Baker Mayfield","CLE","QB4","7","31","111","68.2","14.0","58.0","-8.0"
"67","5","","Tevin Coleman","SF","RB27","4","35","136","69.6","18.0","65.0","-2.0"
"68","5","","Matt Ryan","ATL","QB5","9","45","131","69.7","15.8","74.0","+6.0"
"69","5","","Josh Gordon","NE","WR31","10","37","159","73.2","22.3","141.0","+72.0"
"70","5","","Andrew Luck","IND","QB6","6","21","148","73.2","20.6","69.0","-1.0"
"71","5","","Lamar Miller","HOU","RB28","10","39","167","76.6","18.3","70.0","-1.0"
"72","5","","Christian Kirk","ARI","WR32","12","48","104","77.3","14.2","78.0","+6.0"
"73","6","","Sammy Watkins","KC","WR33","12","40","148","78.2","17.1","75.0","+2.0"
"74","6","","Tarik Cohen","CHI","RB29","6","40","125","79.3","15.3","66.0","-8.0"
"75","6","","Corey Davis","TEN","WR34","11","39","139","79.4","18.1","84.0","+9.0"
"76","6","","Will Fuller","HOU","WR35","10","47","165","80.1","16.8","76.0","0.0"
"77","6","","Kenyan Drake","MIA","RB30","5","19","182","81.6","24.6","68.0","-9.0"
"78","6","","Cam Newton","CAR","QB7","7","46","131","82.4","16.6","92.0","+14.0"
"79","6","","Curtis Samuel","CAR","WR36","7","45","169","82.8","21.1","101.0","+22.0"
"80","6","","Latavius Murray","NO","RB31","9","42","173","83.4","16.5","100.0","+20.0"
"81","6","","Marvin Jones","DET","WR37","5","45","207","83.4","19.0","96.0","+15.0"
"82","6","","Carson Wentz","PHI","QB8","10","51","161","85.4","21.4","86.0","+4.0"
"83","6","","Russell Wilson","SEA","QB9","11","38","158","87.5","21.4","95.0","+12.0"
"84","6","","Dante Pettis","SF","WR38","4","42","145","88.6","17.9","82.0","-2.0"
"85","6","","Rashaad Penny","SEA","RB32","11","46","144","88.9","15.3","81.0","-4.0"
"86","6","","Dede Westbrook","JAC","WR39","10","39","164","89.1","21.6","94.0","+8.0"
"87","6","","Sterling Shepard","NYG","WR40","11","58","149","89.8","16.4","93.0","+6.0"
"88","6","","Miles Sanders","PHI","RB33","10","45","280","89.8","38.3","79.0","-9.0"
"89","6","","Jared Cook","NO","TE7","9","62","140","86.4","15.1","71.0","-18.0"
"90","6","","Larry Fitzgerald","ARI","WR41","12","63","143","93.9","17.2","90.0","0.0"
"91","6","","Drew Brees","NO","QB10","9","54","162","94.2","20.1","89.0","-2.0"
"92","6","","Austin Ekeler","LAC","RB34","12","52","181","96.3","21.4","73.0","-19.0"
"93","6","","Vance McDonald","PIT","TE8","7","68","157","92.7","19.0","83.0","-10.0"
"94","6","","Jared Goff","LAR","QB11","9","56","147","96.6","17.5","102.0","+8.0"
"95","6","","Courtland Sutton","DEN","WR42","10","62","144","98.9","15.7","97.0","+2.0"
"96","6","","David Njoku","CLE","TE9","7","55","169","95.5","18.6","87.0","-9.0"
"97","6","","Royce Freeman","DEN","RB35","10","59","143","99.3","15.4","99.0","+2.0"
"98","6","","Jameis Winston","TB","QB12","7","59","150","100.5","16.9","114.0","+16.0"
"99","6","","Derrius Guice","WAS","RB36","10","31","259","100.7","26.7","77.0","-22.0"
"100","6","","Eric Ebron","IND","TE10","6","63","158","98.3","22.1","80.0","-20.0"
"101","6","","Kyler Murray","ARI","QB13","12","48","202","99.9","23.8","98.0","-3.0"
"102","6","","Geronimo Allison","GB","WR43","11","66","166","108.1","20.6","116.0","+14.0"
"103","6","","Jordan Howard","PHI","RB37","10","57","166","106.7","21.7","85.0","-18.0"
"104","7","","Ben Roethlisberger","PIT","QB14","7","70","154","111.5","18.4","112.0","+8.0"
"105","7","","Anthony Miller","CHI","WR44","6","75","199","112.2","21.1","137.0","+32.0"
"106","7","","Austin Hooper","ATL","TE11","9","63","150","109.2","17.5","108.0","+2.0"
"107","7","","Lamar Jackson","BAL","QB15","8","59","178","113.1","22.8","128.0","+21.0"
"108","7","","Dak Prescott","DAL","QB16","8","69","159","114.6","19.5","129.0","+21.0"
"109","7","","Keke Coutee","HOU","WR45","10","75","211","114.2","21.8","119.0","+10.0"
"110","7","","Philip Rivers","LAC","QB17","12","83","173","119.5","18.9","130.0","+20.0"
"111","7","","DeSean Jackson","PHI","WR46","10","82","194","120.6","21.4","125.0","+14.0"
"112","7","","Darrell Henderson","LAR","RB38","9","36","294","119.2","35.8","91.0","-21.0"
"113","7","","Marquez Valdes-Scantling","GB","WR47","11","60","224","116.1","26.8","107.0","-6.0"
"114","7","","Matt Breida","SF","RB39","4","73","187","118.6","26.1","121.0","+7.0"
"115","7","","Emmanuel Sanders","DEN","WR48","10","64","208","122.9","26.7","106.0","-9.0"
"116","7","","LeSean McCoy","BUF","RB40","6","71","288","120.8","30.2","104.0","-12.0"
"117","7","","Kalen Ballage","MIA","RB41","5","68","240","122.0","27.3","117.0","0.0"
"118","7","","Michael Gallup","DAL","WR49","8","78","238","128.3","26.5","145.0","+27.0"
"119","7","","Donte Moncrief","PIT","WR50","7","62","218","128.8","31.0","127.0","+8.0"
"120","7","","Delanie Walker","TEN","TE12","11","72","289","125.8","27.6","132.0","+12.0"
"121","7","","Trey Burton","CHI","TE13","6","72","224","129.5","23.9","140.0","+19.0"
"122","7","","Duke Johnson","HOU","RB42","10","59","245","129.7","30.9","123.0","+1.0"
"123","7","","Golden Tate","NYG","WR51","11","73","227","126.8","29.8","142.0","+19.0"
"124","7","","Dion Lewis","TEN","RB43","11","78","280","130.7","30.4","133.0","+9.0"
"125","7","","Mitch Trubisky","CHI","QB18","6","74","242","133.6","25.6","148.0","+23.0"
"126","7","","Ronald Jones II","TB","RB44","7","66","195","128.6","25.3","105.0","-21.0"
"127","7","","Jordan Reed","WAS","TE14","10","77","282","135.6","28.6","138.0","+11.0"
"128","7","","Tom Brady","NE","QB19","10","79","204","137.7","21.8","124.0","-4.0"
"129","7","","John Brown","BUF","WR52","6","48","210","135.3","21.9","163.0","+34.0"
"130","7","","Peyton Barber","TB","RB45","7","71","282","136.3","33.2","118.0","-12.0"
"131","7","","Kirk Cousins","MIN","QB20","12","69","228","132.9","25.4","152.0","+21.0"
"132","7","","Devin Funchess","IND","WR53","6","48","214","133.8","28.3","151.0","+19.0"
"133","7","","Adrian Peterson","WAS","RB46","10","73","265","135.0","29.0","136.0","+3.0"
"134","7","","Nyheim Hines","IND","RB47","6","95","286","138.5","29.8","126.0","-8.0"
"135","7","","Josh Allen","BUF","QB21","6","76","246","137.5","27.3","177.0","+42.0"
"136","7","","Tyrell Williams","OAK","WR54","6","68","242","138.6","32.8","144.0","+8.0"
