"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"1","","Saquon Barkley","NYG","RB1","","1","3","1.5","0.6"
"2","","Ezekiel Elliott","DAL","RB2","","1","6","2.7","1.0"
"3","","Todd Gurley","LAR","RB3","","1","33","3.7","3.1"
"4","","Christian McCaffrey","CAR","RB4","","2","13","4.0","0.9"
"5","","Alvin Kamara","NO","RB5","","2","12","4.5","1.0"
"6","","Melvin Gordon","LAC","RB6","","3","10","5.8","1.4"
"7","","DeAndre Hopkins","HOU","WR1","","5","17","8.6","2.0"
"8","","James Conner","PIT","RB7","","3","20","9.9","2.6"
"9","","Davante Adams","GB","WR2","","7","18","10.5","2.7"
"10","","Le'Veon Bell","NYJ","RB8","","5","33","12.0","3.5"
"11","","Joe Mixon","CIN","RB9","","7","25","12.3","3.4"
"12","","Michael Thomas","NO","WR3","","8","24","12.6","2.8"
"13","","Julio Jones","ATL","WR4","","6","29","13.3","3.2"
"14","","Odell Beckham Jr.","CLE","WR5","","7","24","15.2","4.0"
"15","","Nick Chubb","CLE","RB10","","6","56","16.0","8.8"
"16","","David Johnson","ARI","RB11","","7","38","16.2","4.7"
"17","","Travis Kelce","KC","TE1","","14","69","16.9","2.1"
"18","","Dalvin Cook","MIN","RB12","","6","32","17.1","5.0"
"19","","Tyreek Hill","KC","WR6","","9","37","19.4","4.8"
"20","","Antonio Brown","OAK","WR7","","9","35","19.7","4.6"
"21","","Zach Ertz","PHI","TE2","","16","53","21.0","3.4"
"22","","JuJu Smith-Schuster","PIT","WR8","","8","30","22.0","3.9"
"23","","George Kittle","SF","TE3","","15","32","22.7","2.8"
"24","","Aaron Jones","GB","RB13","","12","38","24.2","5.4"
"25","","Mike Evans","TB","WR9","","18","34","25.7","3.8"
"26","","A.J. Green","CIN","WR10","","17","42","27.1","3.9"
"27","","T.Y. Hilton","IND","WR11","","23","35","29.1","1.7"
"28","","Patrick Mahomes","KC","QB1","","25","47","29.8","6.9"
"29","","Amari Cooper","DAL","WR12","","19","40","30.1","2.4"
"30","","Sony Michel","NE","RB14","","21","51","30.3","5.6"
"31","","Keenan Allen","LAC","WR13","","24","39","30.5","2.1"
